2026-09-22 11:24:59 INFO  Utils:112 - [TestNG] Running:
  C:\Users\nazis\eclipse\mytestfolder\OpencartV121\master.xml

2026-09-22 11:25:15 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:25:21 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:25:21 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:25:33 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:25:33 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:25:44 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:25:44 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:25:55 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:25:55 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:25:58 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:26:07 INFO  TC_LoginTest:20 - *****************Login page start*******************
2026-09-22 11:26:11 INFO  TC_LoginTest:53 - **********Complete Logout****************
2026-09-22 11:26:15 INFO  TC_ContactForm:14 - testcase start
2026-09-22 11:26:15 INFO  TC_ContactForm:21 - click on registration
2026-09-22 11:26:16 INFO  TC_ContactForm:24 - form fill
2026-09-22 11:26:18 INFO  TC_ContactForm:31 - test complated
2026-09-22 11:26:18 INFO  TC_ContactForm:39 - finish test
2026-09-22 11:30:17 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:30:21 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:30:21 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:30:33 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:30:33 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:30:45 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:30:45 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:30:57 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:30:57 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:31:00 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:31:04 INFO  TC_LoginTest:20 - *****************Login page start*******************
2026-09-22 11:31:19 INFO  TC_ContactForm:14 - testcase start
2026-09-22 11:31:20 INFO  TC_ContactForm:21 - click on registration
2026-09-22 11:31:20 INFO  TC_ContactForm:24 - form fill
2026-09-22 11:31:22 INFO  TC_ContactForm:31 - test complated
2026-09-22 11:31:22 INFO  TC_ContactForm:39 - finish test
2026-09-22 11:52:02 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:52:08 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:52:08 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:52:20 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:52:20 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:52:32 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:52:32 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:52:44 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:52:44 INFO  TC_003LoginDDT:27 - **** Starting TC_003_LoginDDT *****
2026-09-22 11:52:47 INFO  TC_003LoginDDT:82 - **** Finished TC_003_LoginDDT *****
2026-09-22 11:52:51 INFO  TC_LoginTest:20 - *****************Login page start*******************
2026-09-22 11:52:54 INFO  TC_LoginTest:53 - **********Complete Logout****************
2026-09-22 11:52:58 INFO  TC_ContactForm:14 - testcase start
2026-09-22 11:52:58 INFO  TC_ContactForm:21 - click on registration
2026-09-22 11:52:59 INFO  TC_ContactForm:24 - form fill
2026-09-22 11:53:01 INFO  TC_ContactForm:31 - test complated
2026-09-22 11:53:01 INFO  TC_ContactForm:39 - finish test
